Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
25,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
26,P3,C,Agree,Agree,Neither agree nor disagree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,3.0,4.0,3.0
27,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
28,P3,C,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,4.0,4.0,4.0,3.0
0,P25,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,3.0,2.0,4.0,4.0,4.0
1,P25,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,3.0,2.0,4.0,4.0,4.0
2,P25,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,3.0,2.0,4.0,4.0,4.0
3,P25,T,Agree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,2.0,4.0,4.0,3.0
4,P25,T,Disagree,Disagree,Agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,2.0,4.0,3.0,3.0
5,P25,T,Disagree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,2.0,4.0,4.0,3.0
6,P25,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,3.0,2.0,4.0,4.0,4.0
7,P25,T,Disagree,Disagree,Agree,Hopeful,Very pleasant,2.0,2.0,4.0,4.0,5.0
8,P25,T,Neither agree nor disagree,Disagree,Agree,Very hopeful,Very pleasant,3.0,2.0,4.0,5.0,5.0
9,P25,T,Agree,Disagree,Agree,Very hopeful,Very pleasant,4.0,2.0,4.0,5.0,5.0
10,P25,T,Disagree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,2.0,2.0,4.0,4.0,3.0
11,P25,T,Neither agree nor disagree,Disagree,Agree,Hopeful,Neither pleasant nor unpleasant,3.0,2.0,4.0,4.0,3.0
12,P25,T,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,4.0,3.0,5.0,5.0,5.0
13,P25,T,Agree,Neither agree nor disagree,Strongly agree,Hopeful,Very pleasant,4.0,3.0,5.0,4.0,5.0
14,P25,T,Agree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,4.0,3.0,4.0,5.0,5.0
15,P25,T,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,4.0,3.0,5.0,5.0,5.0
16,P25,T,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,5.0,4.0,5.0,5.0,5.0
17,P25,T,Agree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,4.0,3.0,4.0,5.0,4.0
18,P25,T,Strongly agree,Agree,Agree,Very hopeful,Neither pleasant nor unpleasant,5.0,4.0,4.0,5.0,3.0
19,P25,T,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,3.0,3.0,5.0,4.0,3.0
20,P25,T,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,4.0,3.0,5.0,5.0,5.0
21,P25,T,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,3.0,3.0,4.0,4.0,5.0
22,P25,T,Agree,Neither agree nor disagree,Agree,Hopeful,Neither pleasant nor unpleasant,4.0,3.0,4.0,4.0,3.0
23,P25,T,Agree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,4.0,3.0,4.0,5.0,5.0
24,P25,T,Strongly agree,Agree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,5.0,4.0,5.0,4.0,3.0
25,P25,T,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,4.0,4.0,5.0,5.0,5.0
27,P25,T,Agree,Agree,Agree,Very hopeful,Very pleasant,4.0,4.0,4.0,5.0,5.0
28,P25,T,Agree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,4.0,3.0,4.0,5.0,5.0
0,P1,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
1,P1,C,Neither agree nor disagree,Strongly disagree,Agree,Very hopeful,Neither pleasant nor unpleasant,3.0,1.0,4.0,5.0,3.0
2,P1,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
3,P1,C,Disagree,Strongly disagree,Agree,Hopeful,Very pleasant,2.0,1.0,4.0,4.0,5.0
4,P1,C,Disagree,Disagree,Agree,Very hopeful,Pleasant,2.0,2.0,4.0,5.0,4.0
5,P1,C,Disagree,Strongly disagree,Agree,Very hopeful,Pleasant,2.0,1.0,4.0,5.0,4.0
6,P1,C,Disagree,Strongly disagree,Agree,Very hopeful,Pleasant,2.0,1.0,4.0,5.0,4.0
