uid,group,day,hk_stepcount,hk_activeenergyburned,hk_appleexercisetime,hk_distancewalkingrunning,hk_workout_count,week
P32,treatment,-56,1992.277591973244,893.0999999999999,,0.5610784446806413,0,-8
P32,treatment,-55,6102.849498327759,2099.6420000000053,31.0,1.5668047195091286,1,-7
P32,treatment,-54,8053.983755605788,1259.1019999999992,46.0,3.021529701992477,1,-7
P32,treatment,-53,6037.08361,533.9369999999985,35.0,2.4199442068544177,1,-7
P32,treatment,-52,3698.217863730007,724.3510000000002,8.0,1.351579655860354,0,-7
P32,treatment,-51,4293.274020525683,405.3330000000001,4.0,1.4682959511328366,0,-7
P32,treatment,-50,4129.484159519283,783.7400000000001,5.0,1.5502256461365649,0,-7
P32,treatment,-49,2917.295986622073,701.4559999999999,15.0,0.947011009,1,-7
P32,treatment,-48,6536.536200928872,1763.2630000000063,40.0,2.058249828290072,2,-6
P32,treatment,-47,4429.201432204053,761.2210000000006,22.0,1.642381740032228,2,-6
P32,treatment,-46,8907.792942336151,942.7759999999936,43.0,3.2584283434215195,1,-6
P32,treatment,-45,4320.709030100334,968.1390000000006,3.0,1.4646971241175903,0,-6
P32,treatment,-44,6144.581939799332,531.4499999999995,31.0,2.4406222643485527,1,-6
P32,treatment,-43,3968.307692307693,488.5400000000001,12.0,1.4280634688234084,0,-6
P32,treatment,-42,3692.469230769231,1051.4,,1.3693629316336378,0,-6
P32,treatment,-41,3097.076923076924,1062.2000000000005,,0.3792618940438428,0,-5
P32,treatment,-40,4663.37364,846.0470000000017,25.0,1.730486571039424,1,-5
P32,treatment,-39,3331.384615384616,1270.801,6.0,1.2991819506135196,0,-5
P32,treatment,-38,3018.325420349003,747.0039999999999,6.0,1.2249409140600152,0,-5
P32,treatment,-37,3671.083265915404,433.679,2.0,1.5707839452125076,0,-5
P32,treatment,-36,4910.321070234114,649.5590000000001,9.0,2.117568441583956,0,-5
P32,treatment,-35,3260.762918916475,1317.6,,0.9647121734355248,0,-5
P32,treatment,-34,3347.3775493109497,2100.7,20.0,0.6332215427549467,1,-4
P32,treatment,-33,3510.381337792642,596.6740000000002,8.0,1.512404207930396,0,-4
P32,treatment,-32,4132.448160535117,607.6040000000002,4.0,1.627873443517763,0,-4
P32,treatment,-31,3644.095807122306,637.8340000000003,6.0,1.4190582756159442,0,-4
P32,treatment,-30,5095.015852842809,914.8810000000004,11.0,1.713233050992066,0,-4
P32,treatment,-29,2884.277591973244,1263.9,,0.5861991721191263,0,-4
P32,treatment,-28,3191.6287625418063,1360.5000000000005,,0.8897764194787553,0,-4
P32,treatment,-27,4771.291438127091,1428.7389999999962,31.0,1.8141920687484976,1,-3
P32,treatment,-26,3715.1705685618726,1808.5,,0.4802838594870874,0,-3
P32,treatment,-25,4475.826086956521,745.0559999999999,6.0,1.5031943118979023,0,-3
P32,treatment,-24,4064.7838539456698,937.861,7.0,1.6119956471768435,0,-3
P32,treatment,-23,4788.944859466701,682.9470000000001,6.0,1.813509724772751,0,-3
P32,treatment,-22,4554.545150501673,1876.6140000000007,,0.955313761,0,-3
P32,treatment,-21,3019.3645484949825,1327.2,,0.5160651493521152,0,-3
P32,treatment,-20,5560.775701,857.6999999999999,36.0,1.5496786123930462,1,-2
P32,treatment,-19,5647.782902869465,1022.952,9.0,2.289189757020579,0,-2
